Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S18652600036,04/28/2014,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,"3221 SE 14TH ST
DES MOINES 50315
(41.553941, -93.596756)",77.0,Polk,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$8.00,$12.00,6,$72.00,4.5,1.19
S26163100140,06/11/2015,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,"3221 SE 14TH ST
DES MOINES 50320
(41.554101, -93.596754)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,12,$269.88,9.0,2.38
S21012000002,09/08/2014,3562,Wal-Mart 0797 / W Burlington,324 WEST AGENCY RD,WEST BURLINGTON,52655,"324 WEST AGENCY RD
WEST BURLINGTON 52655
(40.813125, -91.158406)",29.0,Des Moines,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,36,$508.68,27.0,7.13
S12335700026,05/21/2013,2522,Hy-Vee Wine and Spirits / Spirit Lak,HWY 9 & 71,SPIRIT LAKE,51360,"HWY 9 &amp; 71
SPIRIT LAKE 51360
",30.0,Dickinson,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.49,$14.24,12,$170.88,9.0,2.38
S28235900002,10/01/2015,9013,Iowa Distilling Company,4349 Cumming Ave.,Cumming,50061,"4349 Cumming Ave.
Cumming 50061
(41.483192, -93.762456)",91.0,Warren,1062050.0,BARBADOS RUM,154.0,Iowa Distilling Company,46937,Steel Drum Pure Cane Reserve,6,750,$12.17,$18.26,12,$219.12,9.0,2.38
S11846000069,04/24/2013,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,"4815 MAPLE DRIVE
PLEASANT HILL 50317
",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.24,$13.86,1,$13.86,0.75,0.2
S26425400034,06/25/2015,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,"8701 DOUGLAS
URBANDALE 50322
(41.629365, -93.739245)",77.0,Polk,1062050.0,BARBADOS RUM,460.0,Shaw Ross International Importers LL,44266,British Navy Pusser's Rum,6,750,$12.02,$18.03,6,$108.18,4.5,1.19
S28274600088,10/06/2015,2524,Hy-Vee Food Store / Dubuque,3500 DODGE ST,DUBUQUE,52001,"3500 DODGE ST
DUBUQUE 52001
",31.0,Dubuque,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.23,$14.22,2,$28.44,1.5,0.4
S05552300130,05/15/2012,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,"2890 DEVILS GLEN ROAD
BETTENDORF 52722
(41.552406, -90.483701)",82.0,Scott,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.00,$13.50,4,$54.00,3.0,0.79
S27679200015,09/02/2015,4112,Corridor Ventures,618 MEADE DR,NORTH LIBERTY,52317,"618 MEADE DR
NORTH LIBERTY 52317
(41.752451, -91.608725)",52.0,Johnson,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.98,$14.97,12,$179.64,9.0,2.38
